reputation,up_votes,down_votes,num_badges,contributing_score,EFF_CLASS_NUM
1267,29,6,33,0.81,-1
108,3,0,4,0.25,1
40,5,0,8,0.42,1
54,18,0,8,0.24,1
113,0,0,8,0.15,1
3683,77,6,120,2.59,1
88,21,0,8,1.11,-1
34,3,0,9,0.3,-1
1641,39,14,29,2.99,-1
320,79,3,13,1.24,1
83,1,0,9,2.14,1
215,0,0,17,1.63,1
36,2,0,6,0.06,1
863,24,2,25,0.6,-1
28,33,0,4,0.71,1
859,3,3,11,0.09,-1
169,9,1,9,0.24,-1
50,21,0,10,0.53,-1
121,3,0,3,0.67,-1
317,986,1,18,0.67,-1
770,52,2,22,0.86,1
40,47,0,6,0.6,1
1245,711,557,34,0.57,1
502,179,6,17,2.32,1
18,18,0,5,0.63,-1
60,10,0,12,0.1,1
43,1,0,5,0.46,1
5607,656,52,96,1.3,1
543,10,3,19,1.95,1
181,2,0,4,1.78,-1
871,138,1,29,3.11,1
51,1,0,5,0.08,-1
449,13,1,24,1.71,-1
81,3,0,7,1.0,-1
534,56,5,15,1.16,1
148,7,0,13,2.18,1
69,2,0,9,0.1,1
2932,419,7,186,0.44,1
76,0,0,3,2.0,-1
28,11,0,8,-0.03,1
473,444,5,24,0.32,1
2204,368,35,40,0.62,-1
1298,112,9,21,1.3,-1
349,140,7,17,0.29,1
1477,24,6,20,0.55,-1
38,55,0,6,0.45,1
365,31,1,29,0.94,-1
17,0,0,4,-0.26,1
5070,129,6,36,3.56,1
163,53,0,15,0.14,1
98,10,0,9,0.26,1
110,23,0,15,0.06,1
155,49,0,23,0.59,-1
138,13,0,14,0.55,1
53,0,0,10,0.37,-1
663,10,5,17,0.38,1
1707,205,8,57,0.63,0
551,10,1,9,0.66,-1
1147,1178,46,25,0.55,-1
23,0,0,7,0.14,1
126,7,0,14,0.35,1
15,5,0,6,-0.1,1
161,1,0,9,0.57,1
112,0,0,8,0.38,-1
372,11,4,16,0.16,1
91,41,0,7,0.36,1
34,23,0,9,0.29,1
109,554,0,15,0.28,1
76,3,0,10,0.32,1
2512,95,13,53,10.53,-1
556,57,2,10,1.3,-1
55,11,0,8,0.29,1
459,44,4,25,1.24,1
64,17,0,12,0.29,-1
134,26,0,10,0.57,1
1402,1517,2,48,1.43,1
210,6,0,9,0.18,1
2,0,0,5,-0.09,-1
51,76,0,7,0.12,-1
900,52,4,24,1.66,1
195,50,0,13,0.19,1
584,44,0,24,0.96,1
330,21,0,28,0.46,1
820,59,1,16,2.47,1
600,79,23,35,1.66,1
426,284,6,16,1.23,-1
706,65,2,47,0.43,1
832,22,0,19,3.49,1
1353,12,0,26,5.26,-1
799,149,5,59,0.77,0
191,3,0,10,1.3,1
418,15,2,18,2.4,1
1176,17,4,19,1.86,-1
396,355,3,19,0.32,1
900,250,14,51,0.78,1
161,62,0,8,0.79,-1
18,1,0,4,0.75,1
282,12,0,12,0.72,1
127,131,0,15,0.35,1
526,31,1,19,1.67,-1
599,35,2,33,0.5,1
90,9,0,14,0.59,1
119,5,0,10,0.75,1
1730,41,2,26,1.92,1
688,3,0,20,9.2,1
209,12,0,16,1.85,1
220,200,0,7,0.59,1
46,18,0,7,0.63,0
714,476,0,29,0.68,-1
1458,151,13,26,1.43,1
942,624,1,30,5.19,-1
3214,158,95,51,0.7,-1
2136,451,14,154,0.4,-1
25,0,0,7,0.04,-1
974,303,5,25,1.29,-1
152,17,5,7,0.15,-1
277,0,0,9,4.27,-1
24,0,0,9,0.0,1
476,320,3,17,1.26,0
596,217,7,26,1.02,1
418,99,1,29,0.8,1
198,118,0,25,0.56,1
511,9,1,40,0.56,0
6160,2,0,22,48.38,1
301,13,0,17,1.8,-1
532,1253,1,21,0.42,1
506,0,3,6,0.34,-1
43,38,0,6,0.89,1
64,18,0,18,0.04,1
196,8,6,15,0.24,1
2267,77,10,58,3.3,-1
9939,832,88,69,2.46,1
1487,154,3,39,2.07,-1
315,22,0,18,0.19,1
134,9,0,11,0.5,1
617,5,1,10,0.08,-1
769,81,5,23,1.34,1
33,53,0,5,0.5,1
4388,373,65,100,0.7,1
2656,64,14,55,2.32,1
48,1,0,9,-0.08,1
340,35,0,13,1.69,1
45,4,0,4,0.12,-1
385,31,9,11,0.52,1
808,117,6,31,1.21,0
9,0,0,7,-0.09,1
139,13,0,13,1.55,1
379,18,0,18,1.21,1
1567,1030,24,65,0.84,-1
425,328,3,18,0.47,-1
76,25,0,4,0.9,-1
858,10,0,35,2.23,1
43,6,0,15,0.12,1
148,22,6,12,0.18,1
1125,94,1,35,0.58,1
24,3,0,8,-0.06,1
25,1,0,6,0.07,1
621,0,0,6,15.0,-1
535,6,2,11,1.31,-1
266,1,0,13,3.7,1
286,16,1,8,0.47,-1
121,99,0,14,0.63,1
573,273,4,23,1.4,1
244,32,1,14,0.3,0
79,19,0,10,0.14,1
863,1654,3,48,2.45,1
172,36,1,20,0.26,1
5943,3791,241,70,2.66,-1
36,16,0,5,0.33,1
18,0,0,5,0.33,1
93,57,0,11,0.15,1
106,0,0,9,1.57,1
2561,0,0,24,71.14,-1
454,149,28,27,1.36,1
45,7,0,7,0.29,1
1341,35,18,21,0.55,-1
156,27,0,19,0.89,1
861,404,11,57,0.41,0
14108,98,0,245,14.45,1
28,8,0,7,0.19,1
314,457,10,16,0.76,1
141,15,0,19,0.23,1
198,238,0,19,0.64,1
262,18,1,10,3.47,1
366,230,0,21,0.57,1
740,38,0,24,4.0,-1
421,79,1,10,0.8,-1
2781,898,77,45,4.47,1
475,1,1,6,1.31,-1
804,65,2,26,5.79,1
3733,69,4,89,2.86,-1
6657,1038,14,72,5.45,1
188,8,0,20,0.47,1
483,10,4,23,0.25,1
1638,39,4,32,0.88,1
61,0,0,1,1.5,-1
4173,92,8,40,4.68,-1
20,0,0,8,0.0,-1
34,0,0,6,0.83,-1
20,0,0,5,0.27,1
181,0,0,4,3.4,-1
61,1,0,10,1.33,-1
10,0,0,5,0.2,-1
35,2,0,10,0.06,1
376,17,0,5,0.76,-1
55,5,0,8,0.75,1
207,16,1,9,1.18,1
2348,70,3,37,2.26,-1
116,46,0,9,0.0,-1
310,49,0,17,3.26,1
1631,91,4,37,1.44,-1
67,14,0,9,0.24,1
49,9,0,9,0.13,1
99,5,0,9,0.52,1
468,92,3,21,0.94,1
30,3,0,4,0.36,1
1601,92,4,97,0.54,1
104,8,0,11,0.45,1
1010,2,12,13,0.93,-1
38,10,0,8,0.07,-1
9,0,0,3,-0.22,1
945,18,1,21,0.77,-1
177,28,1,9,0.9,1
1509,13,4,43,1.3,1
262,36,1,21,0.1,0
55,21,0,6,0.35,1
171,32,4,12,0.56,-1
321,48,2,21,0.42,1
59,5,0,13,0.3,-1
103,28,0,6,-0.22,1
129,15,0,19,1.38,1
731,44,1,18,2.76,-1
119,10,0,7,0.38,-1
482,200,7,20,0.46,1
70,5,0,10,0.18,1
143,60,0,7,0.42,1
316,8,1,18,0.58,1
12,0,0,6,-0.03,1
62,9,0,7,0.38,1
81,0,0,3,1.0,-1
118,0,0,5,1.08,1
7130,1453,7,183,2.6,-1
1993,152,0,22,7.48,1
199,8,1,18,0.29,0
108,12,0,13,0.29,1
182,188,1,20,0.38,-1
61,7,0,6,0.69,-1
168,15,0,14,0.54,1
891,148,19,36,0.56,1
648,115,0,27,4.29,1
25,0,0,9,0.19,1
49,14,0,9,0.1,1
9,0,0,5,0.06,-1
29640,692,215,127,8.08,-1
30883,522,27,159,5.89,-1
1113,294,14,36,0.47,1
34,2,0,8,0.27,1
129,16,0,8,0.29,-1
13794,1215,39,216,3.08,-1
712,568,3,56,1.02,1
1359,134,0,35,3.4,1
126,0,0,3,0.52,-1
374,26,0,15,1.36,1
944,102,0,34,2.48,-1
52,19,0,11,0.23,1
148,5,0,27,0.47,-1
2732,21,17,36,1.64,1
549,10,23,10,0.23,1
88,4,0,11,0.41,1
415,46,0,29,0.51,1
54,5,0,8,0.2,1
1856,76,2,33,0.99,-1
4,0,0,5,0.0,-1
134,7,0,6,0.22,-1
3032,1844,15,62,1.31,1
46,0,0,3,0.71,-1
1731,0,0,14,39.25,-1
18,0,0,5,0.23,1
74,10,0,9,0.35,-1
2780,464,53,30,0.93,1
565,28,1,19,1.03,-1
784,472,10,25,1.41,1
80,15,0,14,0.11,1
2382,67,7,72,1.15,1
195,146,0,12,0.23,1
195,43,0,27,0.38,1
127,9,0,15,0.81,1
619,138,77,27,0.14,-1
56,0,0,6,1.57,-1
2936,56,15,75,0.91,-1
265,1,0,34,0.38,1
538,136,0,14,2.61,-1
1277,79,4,46,0.79,-1
155,0,0,7,0.06,1
52,8,0,9,0.03,1
1092,307,2,27,4.75,1
165,36,0,22,0.26,-1
68,10,0,7,0.7,1
5478,210,27,64,0.5,0
153,0,0,13,3.63,-1
33,0,0,3,0.15,-1
56,1,0,8,0.16,1
98,0,0,12,0.6,-1
22,9,0,6,0.25,1
244,11,1,13,0.29,1
695,1156,1,27,1.13,-1
523,40,0,24,1.92,-1
367,53,0,27,0.19,0
109,21,0,9,0.38,1
47,10,0,9,0.19,-1
166,41,0,14,0.41,1
6859,262,2,79,8.28,-1
336,463,14,27,1.93,1
328,288,1,10,0.34,1
391,41,1,18,0.82,1
71,7,0,11,0.12,1
17689,4980,621,143,1.94,1
411,113,4,23,1.43,-1
467,25,1,11,1.15,1
105,6,0,6,0.81,1
27,4,0,6,0.19,1
41,7,0,7,0.1,1
63,0,0,15,0.07,1
171,39,0,20,0.48,-1
192,11,0,31,0.17,-1
804,66,0,35,1.42,1
1325,4,3,14,19.67,-1
51,1,0,7,0.35,1
93,15,0,10,0.28,1
7503,290,0,57,16.46,0
83,28,0,17,0.41,1
620,138,1,41,0.41,0
138,3,2,9,0.32,-1
393,24,2,19,0.73,1
1050,173,19,29,0.47,-1
71,36,0,4,1.0,-1
53,7,0,8,0.06,1
195,1,0,12,0.69,1
70,56,0,7,0.44,1
104,108,0,9,0.31,1
2618,691,433,58,1.36,1
936,314,9,58,0.88,0
67,18,0,4,0.42,-1
801,5,0,11,2.48,-1
88,25,0,14,0.42,1
115,12,0,13,0.18,0
280,71,1,27,0.42,-1
4,0,0,1,0.0,-1
161,1,0,4,0.39,-1
76,2,0,8,0.28,-1
634,15,31,22,0.33,1
742,3,2,20,0.69,-1
229,16,0,34,0.89,1
96,71,0,13,0.36,-1
63,23,0,10,0.46,1
136,0,0,6,6.5,-1
172,11,1,10,0.95,1
3365,165,1,44,3.22,1
57,2,0,11,0.29,-1
253,771,6,11,0.7,-1
48,2,0,9,0.82,1
413,43,1,23,1.0,-1
520,5,0,21,2.47,0
4,0,0,3,0.0,-1
28,1,0,5,0.33,-1
33,4,0,6,1.5,1
12,0,0,7,0.03,1
373,131,3,43,0.36,-1
543,62,7,25,0.77,1
83,94,0,8,0.94,1
2751,93,0,51,5.55,-1
95,33,0,12,0.22,1
10,3,0,7,-0.16,1
822,118,3,25,0.59,1
18,7,0,10,0.38,-1
717,4,0,22,4.96,1
2056,66,8,28,1.89,-1
166,348,1,13,0.33,1
109,13,0,8,-0.07,1
9156,979,25,128,4.73,-1
14,0,0,6,0.0,1
189,121,2,17,0.19,1
460,33,1,23,1.79,-1
24,0,0,4,0.2,1
394,20,0,12,1.46,-1
4530,211,155,51,0.58,1
320,84,0,26,0.52,1
40109,1788,31,179,2.89,1
1629,33,16,20,0.8,-1
463,160,2,40,0.44,0
61,0,0,1,1.2,-1
983,132,7,23,1.46,1
1135,0,0,13,0.82,-1
76,2,0,14,1.14,-1
116,225,0,15,0.15,1
54,0,0,9,0.69,1
904,19,0,35,1.33,-1
771,6,3,19,0.4,-1
860,8,4,35,0.52,-1
1373,16,2,20,5.05,1
27,8,0,9,-0.05,1
269,18,0,7,0.36,-1
599,43,15,22,1.03,1
1261,2000,6,41,0.29,1
2787,217,5,63,3.84,-1
2622,69,2,32,2.0,-1
14,0,0,4,0.29,1
22,2,0,9,0.11,-1
167,222,0,22,0.94,1
512,0,0,19,2.1,1
99,5,0,5,1.0,-1
15,0,0,2,0.5,1
17,0,0,8,0.07,1
35,7,0,9,0.05,1
53,4,0,6,0.7,1
360,41,0,24,0.93,1
3344,1934,8,47,5.14,-1
1249,139,0,31,3.88,1
29,0,0,3,0.2,-1
366,90,7,30,1.05,1
106,173,0,10,0.46,1
63,1,0,10,1.88,1
59,8,0,9,1.5,1
666,101,2,25,1.64,1
1316,2,0,14,65.0,-1
85,52,0,16,0.38,1
326,8,0,6,1.58,-1
1533,200,0,47,2.12,1
9885,1774,403,154,2.43,-1
29,0,0,3,0.71,-1
193,103,0,5,0.78,1
48,14,0,10,0.38,1
19,1,0,7,0.0,-1
211,77,0,30,0.58,-1
1364,64,1,24,0.85,1
81,25,0,3,1.33,-1
325,22,1,11,3.62,-1
456,32,0,14,2.44,1
722,18,0,16,1.56,1
170,10,0,11,0.46,1
48,1,0,8,0.33,1
59,1,0,3,0.71,-1
39,13,0,16,0.03,1
37,2,0,7,0.2,1
2634,97,10,123,0.75,-1
1589,10,2,17,7.6,1
1423,82,9,27,1.12,1
1985,49,11,34,2.88,-1
136,28,0,5,1.3,-1
189,44,2,30,0.29,1
181,1,0,5,0.58,-1
24,2,0,2,0.0,-1
111,0,0,3,0.2,1
6657,53,3,58,1.74,0
69,9,0,12,0.2,1
454,0,0,18,3.29,1
74,0,0,9,0.44,-1
2974,31,2,51,1.15,-1
400,59,12,12,0.72,1
426,14,0,22,0.76,1
42,10,0,8,1.0,1
27,0,0,4,0.2,1
69,3,0,8,0.38,1
1986,525,38,58,2.17,-1
66,24,0,9,0.5,-1
96,8,0,12,0.31,1
642,48,5,24,1.68,1
312,31,0,12,0.79,-1
142,11,0,15,0.29,1
73,38,0,6,0.6,1
910,80,19,16,0.38,1
170,4,0,10,2.73,1
584,17,4,17,1.55,-1
28,50,0,4,0.31,1
118,0,0,16,0.51,-1
682,13,1,30,0.53,1
144,57,0,9,0.95,-1
130,11,0,7,0.5,-1
68462,2348,51,182,1.12,1
36,1,0,7,0.24,1
18,0,0,6,0.29,1
73,93,0,10,0.32,1
48,0,0,6,0.35,1
30,1,0,7,0.36,1
2090,305,97,44,2.14,1
191,39,1,18,1.41,-1
476,80,0,18,0.93,1
1949,539,4,33,0.54,1
288,32,0,17,0.71,1
100,35,0,11,0.62,1
18,0,0,6,0.6,1
4087,179,26,36,1.23,1
768,82,0,24,3.93,1
106755,4775,103,425,2.58,-1
462,9,0,20,0.47,1
10,0,0,3,0.17,-1
62,96,0,10,0.32,1
73,7,0,15,0.59,1
71,49,0,19,0.15,1
99,7,0,9,0.44,1
151,20,0,11,0.37,-1
350,43,4,26,0.29,1
13957,3131,5,154,1.47,-1
134,71,0,15,0.33,1
378,8,3,11,0.83,1
25,4,0,5,0.24,1
197,21,0,10,0.14,-1
439,10,1,20,2.08,1
28,1,0,7,0.1,1
68,4,0,9,1.0,-1
189,13,0,15,0.49,1
439,53,22,13,1.06,1
540,152,48,16,0.85,1
3841,178,4,47,1.12,1
68,42,0,6,0.65,1
550,26,1,29,1.12,-1
2649,2451,6,104,1.37,-1
68,3,0,6,0.23,1
152,85,0,8,1.53,1
33,4,0,11,0.13,1
75,5,0,8,0.25,1
912,8,3,19,6.19,1
28,1,0,7,0.13,-1
277,0,0,5,0.0,-1
554,2,0,13,5.06,1
44,1,0,6,0.14,-1
372,310,14,15,1.6,0
92,0,0,7,0.3,1
784,433,45,33,1.21,1
301,39,1,9,0.85,-1
1159,29,0,80,0.75,1
5656,891,12,84,1.75,1
323,0,0,6,1.44,-1
1299,157,2,40,1.78,-1
152,124,0,14,1.19,1
46,5,0,4,0.45,-1
191,38,2,13,3.0,1
358,150,287,16,0.33,1
89,29,0,7,0.94,1
43,0,0,5,1.2,1
136,1,0,10,4.0,-1
51,0,0,1,1.8,-1
790,89,0,31,0.2,1
18,0,0,5,0.0,1
334,262,0,17,1.57,-1
300,15,0,11,0.4,1
7173,423,13,71,8.94,0
9,0,0,5,-0.33,1
355,14,2,12,0.59,1
33,1,0,13,0.22,1
333,6,0,24,1.08,1
183,151,0,15,0.57,-1
131,1,0,5,0.12,1
2045,124,4,74,3.26,-1
1183,56,5,46,1.06,0
162,13,0,14,0.68,-1
51,0,0,6,1.38,-1
155,11,0,17,0.54,1
117,16,0,12,2.86,-1
93,15,0,10,0.44,1
19,7,0,10,0.05,1
783,130,2,29,0.92,1
2650,1828,1,26,13.06,-1
601,42,0,15,2.1,1
641,120,16,28,1.02,1
85,25,0,6,0.33,1
311,1,0,7,8.29,-1
1065,65,2,34,0.62,1
171,48,0,14,0.85,-1
310,113,4,14,1.0,-1
41,0,0,1,0.25,-1
348,25,2,26,0.71,1
540,77,3,42,0.5,1
909,142,41,19,0.39,1
422,12,0,9,3.83,-1
415,14,0,24,0.57,1
416,25,1,10,1.0,-1
398,66,8,16,0.31,1
66,4,0,9,0.16,1
588,38,7,21,1.38,0
1025,69,0,70,0.92,1
5351,65,23,53,0.75,0
1231,28,0,13,12.89,-1
513,76,1,39,1.0,-1
2397,17,16,36,2.26,1
57,3,3,10,0.24,1
20,0,0,3,0.27,1
101,30,0,7,1.36,-1
19,0,0,7,0.3,-1
159,1,0,8,0.3,1
54,15,0,11,0.06,1
34,1,0,12,0.16,1
431,8,0,9,1.45,-1
73,2,0,8,2.0,1
371,6,0,16,1.18,1
23,11,0,10,-0.19,1
6696,461,43,72,2.02,1
169,42,1,7,0.15,1
883,125,7,23,0.68,0
89,4,0,5,1.33,-1
13106,294,47,95,4.78,1
1332,54,22,40,0.47,1
259,0,0,3,1.16,-1
148,31,0,14,0.2,1
260,0,0,16,1.23,1
2544,384,29,36,2.11,1
104,51,0,12,0.24,1
1873,467,15,52,3.11,1
69,5,0,9,0.14,1
420,239,5,13,0.51,0
492,47,2,15,0.72,1
466,61,1,22,0.56,1
3883,270,4,53,3.44,1
18,34,0,9,-0.21,1
89,13,0,9,0.52,1
146,6,3,8,0.27,-1
6767,213,2,189,1.0,1
235,0,0,20,1.68,1
8071,210,25,86,1.6,0
52,14,0,14,0.75,1
109,62,0,16,0.1,1
101,1,0,13,0.38,1
3456,1085,14,52,0.85,1
216,6,0,12,4.33,1
294,15,0,13,1.84,1
28,2,0,9,0.26,1
90,58,0,10,0.32,1
59,4,0,5,0.06,-1
2341,145,1,56,2.39,1
92,4,0,12,0.5,1
838,139,1,32,4.42,1
314,1,0,43,0.52,1
22,0,0,9,0.22,1
25,0,0,7,0.4,1
309,38,1,15,0.73,1
797,45,0,28,1.0,-1
118,0,0,7,2.63,1
9,0,0,9,-0.08,-1
87,1,0,11,0.47,-1
132,23,0,17,0.34,1
1002,146,0,30,1.41,1
622,110,1,45,0.4,1
1366,7,11,26,1.95,-1
165,0,0,6,2.0,-1
128,13,0,10,0.51,1
1161,54,6,23,7.21,-1
54,4,0,8,0.24,-1
55,0,0,7,2.0,1
658,624,7,34,0.46,0
313,7,2,19,0.36,1
908,256,2,52,1.06,-1
48,1,0,6,0.13,1
480,124,0,21,0.4,1
41,142,0,4,0.57,-1
77,5,0,8,0.39,1
808,41,1,20,2.22,1
73,29,0,6,2.33,-1
108,14,0,13,1.05,1
164,29,0,21,1.21,1
411,0,0,10,11.29,1
970,80,3,29,2.2,-1
624,4,0,5,0.25,-1
39,0,0,8,0.14,-1
127,11,0,19,0.42,1
1045,888,7,19,1.7,1
216,26,0,55,0.12,1
131,27,0,8,0.6,1
15,0,0,7,-0.17,1
589,12,0,23,1.48,1
251,224,26,18,0.38,1
55,35,0,8,0.29,1
81,20,0,5,-0.22,1
921,166,3,27,4.41,-1
118,3,0,12,0.81,-1
305,38,4,10,0.46,-1
157,12,0,17,0.16,1
809,0,0,9,9.57,-1
1158,53,9,21,0.75,-1
898,8,2,29,1.18,-1
89,0,0,9,0.1,1
71,16,0,8,0.4,-1
10,0,0,5,-0.09,1
75,11,0,12,0.25,1
121,0,0,3,3.0,-1
566,38,0,34,3.51,1
55,12,0,8,0.5,-1
25,1,0,5,-0.71,1
2773,88,5,53,7.53,0
157,134,0,15,0.41,-1
69,0,0,16,0.6,-1
13192,38,19,78,5.64,-1
37,18,0,8,0.24,1
323,50,1,12,0.81,1
401,47,4,13,0.98,1
819,48,1,21,1.22,1
729,865,5,69,0.63,-1
33,0,0,8,-0.05,1
10725,1535,7,370,1.48,-1
115,10,0,8,1.83,1
579,0,0,6,14.0,-1
8018,231,6,62,2.25,-1
109,5,0,13,0.43,1
196,6,3,10,0.38,1
81,11,0,2,1.67,-1
101,14,0,4,1.89,-1
15,9,0,4,0.2,1
50,11,0,8,0.5,1
76,12,0,5,2.0,-1
750,882,4,22,2.33,-1
789,40,3,28,3.04,-1
52,7,0,11,0.56,1
242,33,128,32,0.43,0
2724,1537,18904,57,0.6,1
209,5,0,13,1.05,1
47,0,0,1,0.4,-1
33,11,0,8,0.02,1
616,20,1,16,0.62,-1
258,15,0,19,1.15,1
78,356,0,14,0.12,-1
66,0,0,2,0.6,-1
65,0,0,11,0.24,0
156,17,0,7,0.58,-1
39,0,0,5,0.03,1
426,328,6,33,0.27,0
180,3,0,10,1.0,1
689,10,9,16,2.12,1
458,206,2,15,1.31,1
1476,26,8,21,2.02,-1
128,61,0,19,0.11,1
1147,276,1,42,2.29,-1
815,404,0,27,2.83,-1
29,0,0,4,0.16,1
857,235,264,44,0.39,-1
36,0,0,4,1.75,-1
48,1,0,7,0.5,1
24,9,0,5,0.05,1
66,17,0,11,0.15,-1
204,10,0,8,1.09,-1
3248,38,0,33,11.6,1
563,1824,5,35,1.47,1
300,44,4,20,0.22,1
74,15,0,11,0.41,1
182,6,0,8,0.65,-1
187,13,0,25,0.67,1
825,17,3,16,0.48,1
516,36,13,16,0.57,1
190,29,0,12,1.07,-1
589,278,3,23,0.85,-1
379,39,2,14,1.04,-1
547,56,1,30,0.39,-1
444,1101,6,26,0.75,1
99,18,0,11,0.16,1
17,5,0,8,0.0,1
2006,239,4,29,0.63,1
317,18,0,22,0.18,1
49,15,0,5,0.67,1
1089,72,0,42,1.13,1
549,14,0,17,1.0,-1
313,2,0,10,1.05,-1
87,1,0,4,0.36,-1
34624,3510,53,210,1.94,0
129,38,0,8,0.7,1
22,95,0,9,0.22,1
303,26,3,10,0.16,-1
343,49,1,15,0.61,-1
8477,424,13,55,1.89,-1
1429,52,15,40,0.39,-1
324,155,26,15,0.6,1
47822,1607,27,288,3.79,1
4657,396,28,65,1.6,-1
823,8,1,19,9.57,-1
1034,10,1,19,3.22,1
74,10,0,10,0.26,1
164,60,0,14,0.84,1
459,46,3,45,0.6,-1
1113,140,6,14,0.5,-1
139,1,2,10,0.03,-1
103,3,0,11,1.12,-1
22,1,0,5,0.27,1
2340,2130,19,93,0.77,-1
118,57,0,12,0.59,-1
215,2,0,17,1.79,-1
163,36,0,23,0.36,-1
13020,190,2,52,11.52,-1
319,25,1,12,0.29,1
2178,115,5,34,1.38,-1
906,132,69,26,0.46,-1
18,0,0,6,0.3,1
70,18,0,8,0.05,1
406,9,0,10,6.11,-1
199,30,0,16,0.42,1
51,0,0,8,0.25,1
528,52,5,16,2.76,1
172,259,2,17,0.32,1
500,31,1,14,1.5,-1
677,123,4,23,1.49,1
295,114,0,17,0.4,-1
191,49,2,10,1.85,1
56,1,0,3,1.0,-1
63,0,0,6,1.75,1
582,20,5,18,0.37,-1
182,14,2,14,0.77,1
14,0,0,2,-0.29,-1
58,11,0,10,0.14,1
28,0,0,11,0.22,1
27,16,0,8,0.14,1
112,25,0,8,0.26,1
938,98,2,30,0.65,1
1071,51,0,23,4.58,-1
421,22,2,15,0.21,1
57,2,0,17,0.17,-1
10411,1112,69,109,0.7,-1
286,14,0,7,4.14,-1
57,64,0,9,-0.03,1
176,84,4,21,0.48,-1
695,110,1,22,0.5,-1
101,0,0,2,0.17,-1
96,31,0,7,0.29,1
134,3,0,11,1.79,-1
4842,273,72,57,1.75,1
95,81,0,14,0.29,1
117,57,0,6,0.13,1
38,2,0,4,1.0,1
107,12,0,16,0.3,-1
329,70,0,22,0.57,1
338,30,2,22,0.89,1
76,0,0,1,1.0,-1
44,1,0,10,-0.13,1
91,0,0,2,1.8,-1
602,13,1,20,1.82,1
382,14,2,13,2.24,1
93,18,0,10,0.19,1
1208,574,16,75,0.64,-1
569,111,4,31,0.38,1
33,8,0,6,0.2,-1
227,212,2,16,0.48,1
29,18,0,3,0.25,1
4391,548,49,50,0.7,1
154,30,1,11,0.3,1
304,253,0,18,0.39,1
54,2,0,7,0.16,1
726,61,0,15,2.25,-1
468,4,0,18,3.72,-1
118,5,0,17,0.47,-1
125,15,0,6,0.63,1
39,1,0,12,0.19,1
287,14,1,6,1.89,1
63,2,0,12,0.33,1
85,19,0,9,0.46,-1
14688,2521,19,116,4.65,-1
367,72,6,14,5.71,1
69,13,0,9,0.46,0
62,7,0,7,0.19,1
76,250,0,3,0.39,-1
69,2,0,8,0.36,1
121,3,0,12,0.39,-1
380,11,0,15,2.62,1
751,45,8,59,0.35,1
2852,307,267,50,1.28,1
102,16,0,11,0.17,1
971,410,8,49,2.01,-1
2907,170,1,105,2.43,1
81,14,0,8,0.2,1
681,1,1,10,2.26,-1
45,11,0,12,0.32,1
239,25,0,11,0.13,-1
23,1,0,8,0.11,1
91,10,0,7,0.22,-1
898,306,1,33,1.15,0
551,3,4,20,2.43,1
41,6,0,8,0.38,1
25,0,0,6,-0.11,1
154,7,0,7,0.95,1
171,73,0,16,0.91,1
41,0,0,12,0.41,1
428,5,0,11,2.5,1
432,1,0,39,0.34,1
79,2,0,9,0.35,1
317,30,2,8,0.41,-1
36,21,0,3,0.6,-1
123,12,0,7,0.69,0
359,25,0,20,1.18,1
2039,301,2,61,1.7,-1
841,404,34,34,1.14,-1
212,5,0,11,1.21,1
684,895,16,26,1.17,1
182,17,0,28,0.52,1
70,4,0,16,0.14,1
899,1,0,9,17.8,-1
11138,1024,2,99,4.1,-1
57,3,0,9,1.33,1
59,0,0,8,0.33,1
86,5,0,11,0.64,1
43,0,0,8,0.43,1
54,11,0,4,1.8,-1
19,0,0,7,0.0,1
351,171,7,11,0.36,1
28,3,0,9,0.29,1
150,11,0,10,1.91,1
168,390,0,12,0.67,-1
1145,713,1,49,0.19,1
101,0,0,1,0.0,-1
84,6,0,11,0.86,-1
350,45,0,21,0.41,1
331,680,2,23,1.36,-1
61,11,0,6,0.54,-1
446,0,0,11,3.78,1
873,76,1,28,0.71,1
732,34,5,23,2.02,1
336,130,1,18,1.21,1
173,55,1,22,0.13,1
724,38,19,17,0.51,1
562,53,5,12,0.51,1
17,2,0,7,0.09,1
69,71,0,17,0.24,1
124,18,2,7,0.5,-1
131,15,0,6,0.6,1
814,154,2,30,1.37,-1
76,0,0,14,0.43,1
2031,54,0,22,20.1,-1
25,3,0,5,0.0,-1
7,0,0,3,-0.5,-1
511,27,9,18,0.48,-1
67,5,0,11,0.21,1
2002,152,2,21,0.84,-1
115,2,0,8,-1.0,-1
85,29,0,7,1.4,0
92,7,0,9,1.06,1
29,2,0,8,0.07,1
58216,5948,746,333,3.38,-1
51,2,0,7,0.0,1
320,428,4,15,0.31,-1
9,0,0,2,-0.14,-1
4441,1020,10,111,1.22,0
7225,1390,469,55,1.6,-1
14392,132,5,67,4.83,-1
853,150,14,31,1.39,1
507,47,0,25,1.7,1
5707,874,43,83,0.59,1
780,98,0,25,6.38,-1
133,165,0,10,0.11,1
89,15,0,13,0.24,1
72,2,0,7,0.33,-1
344,31,1,23,0.65,-1
622,42,1,22,0.93,1
1210,68,1,51,2.47,0
117,30,0,14,0.37,1
120,19,0,19,0.49,1
381,30,1,22,0.4,0
156,5,2,6,1.07,-1
293,24,1,12,0.7,1
684,2,0,23,4.39,0
461,86,7,19,0.51,-1
4430,366,18,45,21.95,-1
932,24,0,14,1.96,-1
