id,reputation,up_votes,down_votes,views,no_of_questions_answered_by_user,avg_ans_score,no_of_questions_Asked_by_user,avg_que_score,EFF_CLASS,EFF_CLASS_NUM
39742,51032,2960,398,7768,905,3.990055249,102,18.754901961,YES,1
32353,849,300,8,116,11,5.727272727,6,3,NO,-1
1204713,60,170,0,23,6,0.666666667,3,1,YES,1
45951,2164,394,13,671,38,0.447368421,77,4.454545455,NO,-1
232182,301,1,0,18,2,0,1,0,NO,-1
9198437,296,104,2,62,11,0.090909091,15,0.666666667,YES,1
2427489,380,232,10,43,28,0.642857143,2,0.5,NO,-1
1795913,356,413,5,270,2,1.5,29,1.24137931,YES,1
4601278,80,1,0,29,7,0.142857143,6,0.333333333,YES,1
1015013,142,19,0,35,5,0.6,15,0.8,YES,1
4637516,71,3,0,24,2,1,9,0.555555556,YES,1
625112,84,5,0,22,2,3,2,1.5,NO,-1
3192968,121,5,0,45,1,7,12,0.583333333,YES,1
1032796,5475,366,78,517,214,1.710280374,10,1.4,NO,-1
3810093,170,26,2,17,3,0,1,0,NO,-1
1939698,498,41,1,61,23,0.52173913,12,1.5,MODERATE,0
4816153,258,4,0,56,22,0,1,0,NO,-1
2194129,74,30,0,25,2,0,4,2.5,YES,1
3377278,40,3,0,18,1,0,3,0,YES,1
5477453,23,0,0,14,1,0,5,0,YES,1
2859891,83,19,0,30,8,0.25,25,0.24,YES,1
5781265,166,15,0,21,2,2,24,0.291666667,YES,1
1076026,3018,208,3,806,1,0,281,0,YES,1
96646,239,1,0,22,3,0,1,0,NO,-1
1445583,962,115,10,199,27,2.111111111,4,4,NO,-1
10497503,18,2,0,16,1,0,1,0,NO,-1
2971719,631,135,0,16,9,0,1,0,NO,-1
3427482,74,0,0,14,1,0,2,0,NO,-1
2661831,1868,593,14,216,32,4.15625,31,1.516129032,YES,1
354214,106,97,0,23,6,0,1,0,NO,-1
2079612,546,128,2,78,9,1,58,0.810344828,MODERATE,0
716321,158,47,2,42,4,1.25,12,1.416666667,YES,1
1103857,326,62,5,43,16,0.1875,22,0.818181818,YES,1
3016125,289,309,3,118,12,0,1,0,NO,-1
1316767,275,22,0,27,5,0,1,0,NO,-1
4527488,290,3,8,26,31,0.290322581,3,-0.666666667,YES,1
2374649,218,1,0,16,3,3.333333333,3,0.333333333,NO,-1
1860234,306,120,3,40,16,0.3125,13,1.384615385,YES,1
1693322,154,2,0,43,2,4.5,11,1,YES,1
75504,1876,66,1,396,5,2.2,128,2.9453125,YES,1
579830,468,87,1,41,14,0,1,0,NO,-1
653152,3450,365,10,703,57,1.561403509,113,3.247787611,NO,-1
7258660,92,43,0,27,1,0,14,0.928571429,YES,1
467869,2002,361,7,87,59,1.559322034,11,2.272727273,YES,1
3777973,1924,54,3,362,136,0.786764706,4,1,YES,1
5199061,55,9,0,15,9,0.111111111,7,-0.142857143,YES,1
2135846,90,14,0,18,12,0.166666667,2,1,NO,-1
4118479,57,17,0,21,7,0,1,0,NO,-1
296055,2442,113,5,221,60,3.283333333,2,1.5,YES,1
1367752,426,269,9,76,12,0.916666667,26,1.653846154,NO,-1
967586,1509,9,1,382,4,0,1,0,NO,-1
3525392,68,2,0,15,1,0,8,1.25,YES,1
573006,36,1,0,15,1,0,9,0,YES,1
2224493,124,0,0,38,2,0.5,36,0.111111111,YES,1
1460960,467,14,0,15,11,0,1,0,NO,-1
444087,241,0,0,31,1,0,1,0,NO,-1
4640594,1188,10,0,48,48,0,1,0,NO,-1
7022974,28,0,0,17,1,0,11,0,YES,1
6788511,79,26,0,37,4,0.5,39,0.307692308,YES,1
689971,634,5,4,46,14,0,1,0,NO,-1
4729374,55,0,0,17,1,0,8,0,YES,1
2847505,619,12,2,46,21,1.285714286,5,5,NO,-1
203884,664,3,0,20,5,0,1,0,NO,-1
1568452,81,6,0,28,2,0.5,18,0.555555556,YES,1
5300894,38,2,0,18,7,0.285714286,3,0.333333333,YES,1
157346,908,4,0,44,5,0,1,0,NO,-1
773715,496,8,0,47,3,6.666666667,4,7.75,YES,1
4413235,61,19,0,45,1,0,10,0,YES,1
9058592,19,3,0,15,1,0,7,0,YES,1
6507527,110,9,0,24,2,1.5,17,0.235294118,NO,-1
912481,138,166,1,20,8,0.625,6,0.166666667,YES,1
149093,169,12,0,23,2,3,11,1.818181818,YES,1
1649304,98,0,0,16,7,0.857142857,4,1,YES,1
983992,6440,279,121,542,212,2.070754717,13,5.461538462,YES,1
5477325,19,0,0,26,2,0,4,0.25,NO,-1
1175188,36,170,0,18,1,1,3,1,YES,1
2989201,439,118,3,15,7,1.714285714,6,4.833333333,YES,1
2384565,111,24,0,20,1,0,5,3.6,YES,1
5728033,49,6,0,18,2,0.5,13,0.307692308,YES,1
808267,27,3,0,19,1,-4,8,0.5,YES,1
320334,289,18,1,39,9,2.333333333,7,1,NO,-1
1777145,86,0,0,14,5,1.4,1,0,NO,-1
10301550,43,1,0,22,1,0,2,0,YES,1
3441734,7426,111,24,716,467,0.944325482,5,0.8,YES,1
2033590,126,4,0,16,2,0.5,1,0,YES,1
3032505,97,228,0,27,9,0.555555556,3,0.666666667,YES,1
792537,139,19,1,35,7,0.285714286,7,2,MODERATE,0
1682848,496,246,23,41,24,0,1,0,NO,-1
908382,140,20,0,14,3,3,5,1,YES,1
1682111,138,0,0,32,14,0.714285714,1,1,YES,1
80012,30,1,0,18,1,0,2,0,YES,1
1001350,322,214,2,48,14,0.571428571,7,1.571428571,NO,-1
3832347,636,32,0,37,8,5.5,1,3,MODERATE,0
78742,185,3,0,77,10,0.2,19,1.578947368,NO,-1
504283,970,95,0,129,1,0,86,0,YES,1
2835670,671,89,3,99,8,0.625,74,1.054054054,NO,-1
671837,867,270,1,66,34,1.823529412,5,1.2,NO,-1
286235,345,25,1,58,10,0.4,20,1.4,YES,1
4645236,833,2451,71,363,34,1.117647059,28,1.964285714,NO,-1
1806461,65,6,0,34,3,1,3,1,YES,1
1342117,71,10,0,58,2,0,18,0.111111111,YES,1
4194806,93,11,0,17,1,0,20,0,YES,1
7114428,1222,131,1,40,54,0,1,0,NO,-1
405645,3113,17,0,268,90,2.477777778,2,0.5,NO,-1
902779,46,0,0,17,1,0,3,0,NO,-1
3671491,49,12,0,20,1,0,15,0,YES,1
4708186,928,392,8,125,28,2.107142857,20,0.9,YES,1
4963534,129,64,0,15,2,6,2,0,NO,-1
2697591,79,45,0,32,3,0,1,0,NO,-1
5502781,99,4,0,18,3,0,1,0,NO,-1
40620,8845,406,161,930,104,7.278846154,10,10.3,YES,1
21283,575,30,0,61,12,3.333333333,2,1,YES,1
3621421,1683,56,42,97,19,3.736842105,2,11,YES,1
7330729,1450,2,5,134,79,1,1,-1,NO,-1
68707,6046,1222,122,848,67,6.686567164,30,8.033333333,YES,1
311450,2996,12,0,433,83,2.86746988,4,2.75,YES,1
1238432,199,6,1,35,11,1.090909091,6,2.166666667,YES,1
920848,820,1,0,97,3,0,24,6.458333333,MODERATE,0
6935835,22,0,0,14,1,0,7,0,YES,1
1875414,385,77,0,47,3,7.333333333,12,1.666666667,YES,1
1708303,298,182,0,120,2,0,54,0.185185185,YES,1
863626,52,6,0,24,5,-0.2,9,0.555555556,YES,1
509980,217,45,5,31,2,1.5,5,3.4,NO,-1
7382418,23,6,0,30,1,1,2,0.5,MODERATE,0
6641811,15,0,0,35,1,0,13,-0.076923077,YES,1
600511,1426,452,3,171,42,2.261904762,14,1.428571429,YES,1
1638648,855,14,4,58,20,0,1,0,NO,-1
4287028,106,0,0,21,6,1,3,1,NO,-1
108238,5473,205,5,370,137,2.554744526,42,5.80952381,NO,-1
2910637,52,0,0,23,1,2,5,0.8,NO,-1
4046160,73,3,0,14,15,0.2,3,0,YES,1
7111093,17,0,0,14,4,0,7,-0.714285714,YES,1
471602,488,9,0,41,3,6.666666667,3,12.333333333,NO,-1
4067825,151,11,0,19,13,0,1,0,NO,-1
1571797,10,0,0,19,1,0,3,0,YES,1
1469815,81,154,0,19,6,-0.166666667,13,0.615384615,YES,1
1732770,2187,29,4,55,15,0,1,0,NO,-1
1264606,433,144,0,92,1,0,14,0,YES,1
4223028,566,23,0,67,28,0.857142857,7,1,YES,1
3294584,10,0,0,39,1,0,7,0,YES,1
4656866,828,47,2,206,44,0.795454545,2,1.5,YES,1
3884240,577,29,0,74,22,2.045454545,4,0,YES,1
2186275,1135,70,10,252,34,1.735294118,26,1.5,MODERATE,0
1079785,30,0,0,15,3,0.666666667,4,0,NO,-1
3079266,4049,3891,33,345,94,2.35106383,41,5.682926829,YES,1
1757185,535,21,18,133,29,1.034482759,4,3,YES,1
473827,598,25,0,59,2,1,22,3.954545455,YES,1
666611,675,3,0,129,7,4.571428571,8,1.5,NO,-1
527620,314,9,2,26,10,1.5,14,1.928571429,YES,1
2590115,341,50,5,53,36,0.555555556,14,1,NO,-1
3790290,37,4,0,15,2,0,7,0.857142857,YES,1
1382210,366,30,0,26,10,0,1,0,NO,-1
1240813,2073,56,39,176,86,1.593023256,2,0,MODERATE,0
603058,880,36,1,116,19,0.578947368,51,2,YES,1
7225652,391,30,12,56,33,0,1,0,NO,-1
4815959,51,1,0,17,4,0,1,0,NO,-1
3450920,25,12,0,22,1,0,12,-0.083333333,YES,1
555008,240,0,0,14,3,2.666666667,1,1,NO,-1
3144462,301,1,13,50,23,0.434782609,28,0.642857143,YES,1
4146250,17,1,0,20,1,0,6,0,YES,1
3099880,32,5,0,27,1,0,10,0,YES,1
7958961,312,5,6,31,26,0,1,0,NO,-1
1955733,74,5,0,26,4,0.25,17,0.647058824,YES,1
730072,405,39,0,23,6,2.666666667,5,4.4,YES,1
102026,46,0,0,67,1,0,3,0,NO,-1
2760637,312,157,1,69,4,2.25,12,2.833333333,YES,1
7903731,91,37,0,26,1,0,28,0,YES,1
1132423,1109,262,4,402,13,5.461538462,24,1.625,YES,1
1061579,199,5,0,18,9,1,4,0.5,YES,1
647799,222,1,0,145,1,1,12,3,YES,1
9271474,82,13,0,19,1,0,17,0,YES,1
616888,1426,274,3,74,17,6.882352941,7,2.285714286,NO,-1
3975312,54,4,0,154,2,0.5,9,0.777777778,YES,1
735462,41,0,0,27,1,0,1,0,NO,-1
408160,421,24,7,63,8,1.75,6,4,YES,1
3381369,27,35,0,90,1,0,10,-0.2,YES,1
5483809,97,6,0,28,1,0,2,0,NO,-1
3014615,247,0,0,33,3,0,1,0,NO,-1
2218897,75,360,0,16,4,0.5,4,2,YES,1
1647074,2553,94,5,428,186,0.61827957,13,2.153846154,YES,1
77466,2908,124,3,933,5,2.2,72,7.069444444,MODERATE,0
520114,6204,62,2,166,50,9.56,3,1.666666667,NO,-1
2080630,110,8,0,17,5,0.2,3,3.333333333,YES,1
6559031,703,124,13,174,27,0.518518519,2,-0.5,NO,-1
59331,735,5,0,79,6,8.666666667,4,3.75,NO,-1
5941337,907,214,4,444,7,0.142857143,279,0.225806452,YES,1
626731,483,121,0,47,13,2.230769231,3,3,YES,1
2608707,154,21,17,59,16,0.625,1,0,YES,1
93392,195,8,0,45,19,0.315789474,14,1.357142857,YES,1
2361883,456,49,10,49,18,1.666666667,4,1.5,YES,1
8420659,28,3,0,14,1,0,6,0,YES,1
5367486,2084,198,114,424,173,0.375722543,4,-0.75,YES,1
3707122,47,4,0,22,1,0,18,0,YES,1
1270659,295,15,0,44,7,2.142857143,10,1.9,YES,1
1279149,371,12,0,18,2,0,8,6.25,YES,1
5271348,109,1,0,15,8,0,1,0,NO,-1
4053821,216,0,0,41,1,0,17,0,YES,1
622915,70,35,0,23,1,0,15,0.733333333,YES,1
1216281,101,3,0,33,3,0.666666667,7,2.142857143,MODERATE,0
6465671,71,34,0,17,4,0,12,0.666666667,YES,1
2584772,598,1561,1,88,13,1,72,0.652777778,YES,1
1051641,38,4,0,34,1,0,6,0,YES,1
3988589,45,2,0,14,4,0.5,6,0,NO,-1
6094439,56,3,0,21,7,0,1,0,NO,-1
6892567,51,12,0,20,16,0.1875,3,-1,NO,-1
9549928,234,4,0,24,17,0,1,0,NO,-1
6789320,147,1,0,22,23,0,1,0,NO,-1
4540592,34,1,0,41,2,0,9,0.555555556,YES,1
8303536,28,4,0,28,1,0,8,0,YES,1
5117734,413,23,1,20,24,0,1,0,NO,-1
2885296,68,6,0,17,6,0.5,6,1.166666667,YES,1
5181,1883,174,12,134,18,6.055555556,16,2.0625,NO,-1
365814,46031,48,5,12098,213,0,1,0,NO,-1
2701860,149,12,1,68,13,0.692307692,25,-0.16,YES,1
2915503,424,0,0,42,12,0,1,0,NO,-1
289518,643,272,4,76,14,3.714285714,2,1.5,NO,-1
1108024,36,1,0,14,3,0,6,1.166666667,NO,-1
2824162,242,39,0,30,13,1,5,0.8,YES,1
925985,53,27,0,19,3,0.333333333,2,3,NO,-1
1231940,177,12,1,57,1,0,4,0,YES,1
2702835,96,12,0,14,7,0.714285714,2,4.5,NO,-1
2721272,150,14,1,23,3,1,2,9.5,NO,-1
2235831,377,131,0,49,11,1.727272727,13,0.538461538,NO,-1
5025966,67,6,0,22,1,1,8,1.125,YES,1
1146473,999,88,5,98,56,0.785714286,4,0,YES,1
